time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.001095,0.741059,0.914732,0.576646,0.724382,0.944384,0.821470,0.800593,0.818930,0.820654,0.854213,1.000000,0.007317,0.048753,0.908464,0.329202,0.875197,0.466589,0.375005
0.001107,0.742421,0.916783,0.537834,0.715145,0.946135,0.822069,0.800385,0.818879,0.820125,0.858196,0.997765,0.007604,0.044354,0.902955,0.336596,0.874618,0.425777,0.377504
0.001118,0.741992,0.912858,0.533399,0.714826,0.944593,0.822522,0.801261,0.818349,0.821132,0.857267,0.999692,0.009389,0.015829,0.876362,0.300422,0.877633,0.507703,0.378668
0.001130,0.739768,0.915099,0.563680,0.713197,0.961210,0.816488,0.801332,0.816891,0.821453,0.855849,1.000000,0.014676,0.014864,0.851170,0.285089,0.884571,0.593329,0.383299
0.001142,0.734121,0.915951,0.593575,0.696746,0.925523,0.828617,0.800396,0.815382,0.819870,0.854040,1.000000,0.017985,0.026802,0.851079,0.311483,0.886049,0.563029,0.390443
0.001154,0.736707,0.915141,0.609194,0.697141,0.944213,0.830611,0.801887,0.811189,0.820294,0.850954,1.000000,0.016317,0.033985,0.853945,0.280754,0.886181,0.541461,0.395415
0.001165,0.734828,0.916031,0.617785,0.697640,0.945159,0.827793,0.799401,0.810040,0.822511,0.852498,0.998242,0.019637,0.043981,0.863073,0.280750,0.882814,0.519413,0.396422
0.001177,0.733925,0.916606,0.621827,0.696457,0.943834,0.825402,0.801575,0.808949,0.820499,0.857000,0.998741,0.017776,0.040302,0.868860,0.288025,0.882584,0.504610,0.399750
0.001189,0.736526,0.915122,0.619652,0.696677,0.946167,0.826184,0.801442,0.810109,0.820869,0.858662,1.000000,0.016405,0.039442,0.876032,0.295130,0.883172,0.502756,0.402950
0.001201,0.741032,0.915463,0.616199,0.701616,0.944307,0.831686,0.800684,0.806913,0.821782,0.858692,1.000000,0.014854,0.040657,0.883745,0.308631,0.880665,0.502477,0.405876
0.001212,0.741254,0.912967,0.618371,0.715614,0.945564,0.830177,0.808714,0.805790,0.821006,0.857311,0.999880,0.015738,0.039346,0.890851,0.320519,0.879466,0.502583,0.412600
0.001224,0.740902,0.914285,0.612819,0.713389,0.946590,0.826545,0.806891,0.805132,0.821980,0.855990,0.999430,0.012817,0.035862,0.892715,0.274675,0.875946,0.495998,0.415385
